customer_message,historical_response,predicted_intent,confidence,human_label
"@AmazonHelp It said I can refuse the delivery when it comes, but I can't because I won't be there","@134329 Thank you for confirming, Sinead! You can also start a return for the order here: https://t.co/Y8jlx1VvWk. Otherwise, please contact us using the link ^AV provided so that we can research further options with you. I hope this helps! ^SD",delivery_issue,0.65,payment_issue
"@AmazonHelp malgré l'intervention (ou pas) du responsable hier, le colis a été livré à 10h, heureusement, j'ai eu de la chance avec le chauffeur et j'ai pu réceptionner le colis.","@133896 Merci d'avoir partagé votre expérience, profitez-en bien :)",general_support,0.4,account_issue
@AmazonHelp I have sent an email as the same thing happened to me today. The delivery attempt was never made.,"@121152 For the fastest resolution, please reach us directly by choosing ""phone"" or ""chat"" when using RS's link, above. ^JR",delivery_issue,0.65,subscription_issue
"@117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.","@118925 Oh no, Kathleen! We want to help. Is there an updated delivery date showing here: https://t.co/Y5jpI9gRhE ^LA",order_issue,0.75,product_issue
@115821 Thanks for your amazing shipping times @115821 but I put some thought into this! 😂I'll have to see if Papa Kira (Papa Grinsha) can get it.,@125124 We'd like to help. Who's the carrier: https://t.co/Y5jpI9gRhE? Have you called them for options: https://t.co/XElP6cXQrb? ^CO,delivery_issue,0.65,delivery_issue
"@AmazonHelp I can't replace the order as it was the nintendo switch bundle cyber monday deal so it was a different price than usual, I have access to my account though",@131806 I am glad that you now have access to your account. We are unable to price match on lightining deals once the time expires.^SM,price_question,0.75,price_question
"@AmazonHelp Yes, was originally scheduled today however now expected 2/3 Dec! For an advent calendar not ideal",@133240 Was this item being shipped by Amazon or by a third-party seller? We'd like to help! ^ZW,price_question,0.65,delivery_issue
@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,"@117948 What does the current tracking indicate? Also, who does the tracking indicate as carrier?: https://t.co/PyACxvY8Qo ^VB",delivery_issue,0.75,refund_request
"@AmazonHelp customer care calls and gives courier contact and they don't pick up the call. AGAIN. Is this how ""on priority"" works?","@131829 Apologies for the inconvenience you had with our Courier. We have sent a correspondence to your registered email ID. Please check and reply to the same, we will look into it. ^AH",general_support,0.4,order_issue
"tracked the @115830 driver going around in circles today, not able to find the Royal mail office with 50 bright red vans in the car park. got a ""failed to deliver"" message.","@122478 I'm sorry we weren't able to deliver your parcel! We'd like to help! When you have the time, please reach out to us here: https://t.co/JzP7hlA23B for more assistance with this. ^TK",general_support,0.4,payment_issue
@AmazonHelp Yes it says it’s going to be Re delivered today but yesterday was already a Re delivery of same parcel?,@131050 Sorry for the continued issues with your delivery. Please keep us posted on the delivery today and let us know if you experience any further delays. Thank you. ^NV,delivery_issue,0.8500000000000001,account_issue
"When the job keeps you busy, but you can order a pumpkin from amazon prime now in an hour and… https://t.co/oTMgZg186n",@125592 Well I'll be a monkey's uncle! That is a spooktacularly creative jack'o'lantern! But is that the trick or the treat? ^JD,order_issue,0.65,subscription_issue
"@AmazonHelp que mon dossier devait être examiné, puis que je serais recontactée sous un délais de 48h. Je n'ai jamais été recontactée",@120912 Merci de remplir ce formulaire afin que je puisse vérifier votre dossier SVP: https://t.co/HtUowfLjin ^BR,general_support,0.4,product_issue
"@AmazonHelp No, desde que es Amazon Logistics no se con quien contactar","@133001 En este caso puedes encontrar el contacto de la transportadora en el siguiente enlace: https://t.co/meqnr4QIaC, y verificar el rastreo de tu pedido. ^NP",general_support,0.4,return_issue
@AmazonHelp It’s a large hospital so not really.,@121050 Hmm. Can you tell us who the courier is for this parcel? ^AL,general_support,0.4,price_question
"@AmazonHelp Hi there, still no response from anyone!","@131814 Sorry to hear that, Julianne. Can I ask if you emailed us, or reached out by phone or Live Chat?^TI",general_support,0.4,delivery_issue
@AmazonHelp I did online chat. After 2 people I was told I needed to wait 24 to 48 hours to hear back from the teen group.,"@134322 When you were on the chat, Gregg, did the agent offer any information as to why the Fire HD Tablet would not register on the teen account? ^TH",general_support,0.4,refund_request
@AmazonHelp It’s just not fair. It’s not our fault and yet we’re the ones out of pocket and the goods undelivered. Best to use another courier or go to another address??,@131037 Thanks for the information! We'd like to look into this with you. Please reach out to us via phone or chat here: https://t.co/JzP7hlA23B ^AJ,delivery_issue,0.65,order_issue
"@AmazonHelp was told you would call me back within four hours, been over 24 and still no call...",@135275 Oh no! I'm sorry you haven't received a callback! Have you had a chance to reach back out to us for an update? ^JO,general_support,0.4,payment_issue
"@AmazonHelp This is da third time am providng the details. Sorry, but i donot have the time.If i dont get the product,i wll make sure you guys regret it",@120613 can look into the issue and get back to you. 2/2 ^SH,product_issue,0.65,account_issue
"@3710 y'all are incredibly late with delivering my large order. 3 days late, I called today and they said it's still not even out for delivery. Their excuse? It was black Friday, we're busy. You actually suck for using that excuse. @115821 this is on you too.","@130721 Hello, I am sorry to hear about the delay. Have you been provided a delivery date for your items? ^CR",delivery_issue,0.75,subscription_issue
Wow @115830 who do you use for delivery people. Are they trained to lie? I have been home all day. This is shit.,@123811 What carrier is your order with? ^KM,delivery_issue,0.65,product_issue
@AmazonHelp Votre SAV où on ne comprend pas les interlocuteurs ?,@135793 Avez-vous déjà signalé le souci de livraison à notre SAV s'il vous plaît ?,general_support,0.4,return_issue
"@AmazonHelp It now says it is coming on Monday, 12/4 instead. Pretty disappointing that I ordered this in September and release day shipping isn’t happening.","@134348 I do apologise for the delay Michael. Please keep us posted on the progress of your order, and let us know if there is anything further we can do.^SM",order_issue,0.75,price_question
"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",@115844 Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE,delivery_issue,0.65,delivery_issue
@115850 myself Arun Choubey mob-9937045729 __email__. I have returned my product (samsung galax tab) of rs 47990/- on 03.10.17 but till date no refund credited. kindly short out the issue.It is very harrasing by the company.,"@131827 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^KK",refund_request,0.65,refund_request
@AmazonHelp Ok I'm waiting,"@130737 Thanks for the heads up, Imran. We will get back to you with an update soon. ^AH",general_support,0.4,order_issue
"@AmazonHelp It was December 4 but still, I chose 2 day shipping on it!",@134799 Sorry to hear of the delay. Prime 2 day shipping is after dispatch. You can find more info here: https://t.co/Db6lM29MaA ^ES,delivery_issue,0.65,payment_issue
"@115821 do you guys have a simple graph of what's included and not included in amazon prime? Amazon isn't but primevideo is, can you please create a table which explains thing more simply?","@134343 Hi, Robert! Thank you for contacting us today. Could you share with us which Amazon site your Prime membership is registered with (.com, .de, .co.uk, etc.) and we'll be happy to help in any way we can! ^AZ",subscription_issue,0.65,account_issue
@AmazonHelp No one besides me has access to my account,@125594 Hmm. Can you tell us what apps are linked to your account? https://t.co/PtGDfbjWsb. You may also change your password. ^AL,account_issue,0.65,subscription_issue
"@AmazonHelp Je ne sais pas trop en fait, je vous mets la capture du suivi.. https://t.co/XVeCN9DtCt","@130699 Les articles en question, sont vendus par Amazon ou par un vendeur tiers ? ^AR",general_support,0.4,product_issue
"@AmazonHelp Ordered last Friday, still not here.",@119702 What was the estimated delivery date provided in the order confirmation e-mail? ^MJ,order_issue,0.75,return_issue
"@115821 #Alexa: please add support for keying numbers mid-call. #EchoDot would be great for conference calls, but can't enter access codes.","@125590 Help us improve. For details on how to provide feedback, please see here: https://t.co/fEQXjMk5MZ ^CO",general_support,0.4,price_question
"@AmazonHelp To me as a customer, I felt that was a unacceptable answer. I can understand if there are shortages and whatnot but nobody's saying anything",@123161 We're unable to provide any additional insight. Once we have a delivery date we'll notify you via e-mail. ^KP,general_support,0.4,delivery_issue
@AmazonHelp Yes. You definitely missed my delivery date. Twice. Also your call center staff seems to have no understanding of how mail delivery works.,@119041 I certainly understand your frustration! Who was the carrier for these orders? Please check here: https://t.co/Y5jpI9gRhE ^BE,delivery_issue,0.65,refund_request
@115850 I got an order cancellation notification for a cancellation I did not do. I even got a refund. Can u pls tell me what's going on?,@131043 Apologies for the order cancellation. We'll not be able to check your information on Twitter. Please report it to our support team here: https://t.co/MDszy6ZxQg and you will be connected to our team to assist further. ^SC,refund_request,0.65,order_issue
How about a ‘where IS my package?’ button @AmazonHelp? £40 lost. 😡 https://t.co/SS9iH4oZFI,"@121292 Hi, sorry to hear that, contact us here: https://t.co/JzP7hlA23B we'll help ^AS",delivery_issue,0.65,payment_issue
"@AmazonHelp the .com version, in the US.",@127744 I'm sorry for the trouble; it looks like we currently do not have this title available for the PS4 console on our website. ^WM,general_support,0.4,account_issue
@AmazonHelp https://t.co/LzRfyE5m3q,@120177 Thanks for the information! Who is the carrier of the package? You can find that info here: https://t.co/Y5jpI9gRhE ^AD,general_support,0.4,subscription_issue
"@132424 guten #Tag. Ist diese #Umfrage „Sagen Sie uns Ihre Meinung über Amazon“ von Ihnen, oder eine #Fake #Mail? #Vielen #Dank. Gruß Ralph","@132423 Auf folgender Hilfeseite haben wir beschrieben, wie Umfragen von uns aussehen: https://t.co/NSEealKIYX Viele Grüße ^UK",general_support,0.4,product_issue
I liked a @126972 video https://t.co/1leptFk24J How to Register &amp; Activate Amazon India seller account and Shipping setup guide for,"@126971 I get your interest in becoming a seller, Deepak. Please refer here: https://t.co/ButnZvHMJh for info to become a seller. ^SV",delivery_issue,0.65,return_issue
@AmazonHelp Do u think it's just normal happening???this is real happened with me...do you still think it's not worth to show quality of product,"@119703 Be assured, we've shared your comments with internal teams for review and to improve our services. (2/2) ^SV",product_issue,0.65,price_question
@AmazonHelp I have a delivery that was supposed to come today but still hasn’t arrived can you help please? Tracking ID Q31155496393,"@131075 Hey there! With Twitter, we're unable to access account or order information but we're here to help! What does your tracking information currently display here: https://t.co/aaDyEz1VgE Please, let us know. ^JE",delivery_issue,0.95,general_support
@AmazonHelp Already shared the info over the link of my order will not be delivered at 8pm today (your decided delivery time ) then cancel my order refund my money and close my @115850 account permanently i don't wanna use shitty amazon services @115851 @132981,@132980 Thank you for sharing your details. We'll work on this and get in touch with you at the earliest. ^BV,delivery_issue,0.75,delivery_issue
Furious with @AmazonHelp &amp; @115817. Why does the customer have to pay for their lack of communication? #WhereIsMyPackage? 😡😡😡😡😡,"@126719 So sorry for the frustration! Without providing any account information, can you tell us more about the issue? ^AD",delivery_issue,0.65,refund_request
"@115850 false commitment on delivery, also mentioned wrong information, delivery guy never contacted me on Tuesday. How could u do that? https://t.co/UG4a7DfhhL","@120321 Also, as this a social medial platform, please don't provide order details. We consider it personal information.^HR",delivery_issue,0.65,order_issue
@AmazonHelp 2 days later and @AmazonHelp still hasn't told me whether they do or do not have higher authority than the regular desk.,"@122602 Hello, we would not have access to your via Twitter. Please reach out to us directly and we will be glad to help. ^CR",delivery_issue,0.65,payment_issue
I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭 @117090 @AmazonHelp,"@117089 I'm sorry, I see we do have both episodes available. Can you let us know which device you are streaming this on? ^EB",general_support,0.4,account_issue
#Amazon vedo che alza il tiro. La spedizione gratuita passa da 19 euro a un minimo di 29 euro di spesa.Nel periodo Natalizio poi https://t.co/VE35jtLXR7,@133910 Ti confermo che non vi sono stati recenti adeguamenti della soglia minima. Per avere le spedizioni gratuite è necessario il superamento dei 29 Euro. A presto! ^PS,general_support,0.4,subscription_issue
".@116928 @3436 holi, así llegan los huevos que mandáis. Un saludo. https://t.co/04d0SNdZvF","@129770 Hola Miquel, lamento las molestias. ¿Reportaste la situación con nuestro Soporte al Cliente? ^LG",general_support,0.4,product_issue
My drying rack was broken when I opened the box. What should I do @115821? https://t.co/II4YnrWx0E,"@118092 I'm sorry your order arrived damaged, Marsha! You can see available options for that item here: https://t.co/T994nVbxA2 ^LA",product_issue,0.65,return_issue
@AmazonHelp It was implied it would have all been sorted on Saturday?,"@131141 Hi Sarah, I am sorry to hear that this still hasn't been resolved please follow this link: https://t.co/tkLCr7Vo9T and fill out the form, someone from our team will be in contact to assist you. Please let us know how you get on. ^HS",general_support,0.4,price_question
Quem recebeu a caixa da BF hoje? 😍 @117086 fazendo meu dia mais feliz ainda. https://t.co/lzKCESis6N,@133249 Chegou a caixa da felicidade 💘. Quantos livros comprou? ^MB https://t.co/nda2rz4MiO,general_support,0.4,general_support
@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,"@132746 I'm afraid we'll not be able to reinstate canceled orders for a delivery attempt. However, we'll be sure to review your experience internally as a feedback. We request you to place a fresh order. ^YP",order_issue,0.65,delivery_issue
@115821 How can I contact customer services without logging into Amazon?,"@123165 You can contact us without logging in here: https://t.co/jzvkhdlrK5 Let us know if you need anything else, Gerard! ^AD",general_support,0.4,refund_request
@AmazonHelp Where do I send it to?,"@119531 The link to the item can be tweeted to us here, or reviewed here: https://t.co/hApLpMlfHN ^QJ",general_support,0.4,order_issue
"@115850 Order date 06-Nov-2017 Order # 403-6517981-6159555 Order total 1,470.00 (1 item) regret to say that the product not delivered. Customer Service not much helpful. Very sad experience from amazon.",@133592 Kindly write back to the correspondence you had received from the Social Media Team. We'll review the situation. Your cooperation is much appreciated. Please don't provide your order details as we consider it personal info. Our twitter page is public. ^CB,product_issue,0.75,payment_issue
Help @120474 I registered for the morrissey presale but on event page it says I'm not. Concerned for 10am! https://t.co/dHq5rt33yP,"@121644 Hi, did you receive a confirmation message when you registered? Did you access using the same log in details? ^TS",general_support,0.4,account_issue
@115850 @AmazonHelp I need to contact customer support ASAP regarding bad behaviour of a seller.,"@132734 Apologies for the trouble, Mayank. Please report it to our support team here: https://t.co/vlvfJr4nN9 and we'll take necessary actions to make things right.^AR",general_support,0.4,subscription_issue
@115830 Why is amazon not disbursing funds to sellers and giving no information? Has amazon gone bust?,"@121994 Hi Scott, are you having an issue with your seller account? Have you been in touch with seller support for assistance? ^TS",general_support,0.4,product_issue
"I've recharged my number using #amazon_pay but I didn't get any confirmation from my subscriber so far &amp; customer care executive told me that they didn't get any amount from Amazon against my recharge, please fix the issue @AmazonHelp @115850 https://t.co/S8vRh21Xil",@132142 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.^CB,payment_issue,0.75,return_issue
@AmazonHelp That should do.,@127182 Appreciate your understanding. :) ^NK,general_support,0.4,price_question
@AmazonHelp YES paid an extra $10 for delivery today. Assuming that will be refunded.,"@121465 We would be happy to discuss that in real time by phone or chat, use the following link: https://t.co/hApLpMlfHN ^CH",refund_request,0.75,delivery_issue
"@115821 Yesterday I got an Amazon package for the third floor, and the fifth floor got mine - why is this so hard?","@129199 I'm so sorry that we didn't get your order to the right address, Jackie! Who was the carrier? https://t.co/Y5jpI9gRhE ^FR",delivery_issue,0.65,delivery_issue
Please explain this @AmazonHelp https://t.co/VJ4d1ii4PH,@117800 I'm sorry it hasn't arrived! We strive to meet the delivery date in your confirmation e-mail. Have we missed that date? ^MO,general_support,0.4,refund_request
@AmazonHelp Customer service helped me. Thank you.,@130291 Excellent! I'm so glad to hear we were able to resolve the issue for you. Thanks for letting us know! ^JN,general_support,0.4,refund_request
"@AmazonHelp Have u gone mad, how many times shud I reply to emails? Jus provide me email ids or else I will complain in consumer forum for mental harassment.","@123350 Apologies for the ordeal, we're unable to access your account details on Twitter. Kindly reply to the email and we'll connect with you at the earliest. ^PS",general_support,0.4,order_issue
@AmazonHelp Shall I wait for life? Worst customer service...pathetic!,"@123350 Apologies, did you check for an email correspondence here: https://t.co/DTSNmGldJf? ^SI",general_support,0.4,order_issue
@120465 ありがたや...ありがたや... 所でグランドツアーシーズン2の配信はまだでしょうかー？,@120464 申し訳ございませんが、今後の配信予定についてはご案内することができません。配信を心待ちにされているところ誠に恐れ入りますが、適宜サイト上などをご確認ください。TN,general_support,0.4,payment_issue
@AmazonHelp They said the item was out of stock as of yesterday. However I have a shipping notification from you from November 20 that my order shipped,"@133566 Thank you for the information! Did we reach out to the carrier about the delay? Also, have you tried to refuse the shipment? You can find more information on how to do so here: https://t.co/8RNgMZE0BS. ^AL.",delivery_issue,0.65,payment_issue
"@AmazonHelp Vuestro,el caso es que el sobre de cartón venía mojado de la lluvia o algo y uno de los cómic esta mojado,el otro no..lo traía Correos.","@135299 Hola Paula, por favor ponte en contacto con nuestros compañeros de Servicio al Cliente al siguiente enlace: https://t.co/OjvUxwnzPe ^RC",general_support,0.4,general_support
@115821 still hasn’t taken my money for my order! WHY,@122906 Sorry for any troubles caused! What is the latest order status showing here: https://t.co/Y5jpI9gRhE ? ^TH,order_issue,0.65,order_issue
@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,@119352 I'd like to help. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA,order_issue,0.65,account_issue
@AmazonHelp I received nothing in spam and there was no message from the operator. However I received your message at 1am - 8hrs after my enquiry. I don’t understand why your operator couldn’t do this for me. Many thanks for your assistance,@135570 Reach us here please: https://t.co/JzP7hlA23B so we can look into this for you again.^CD,general_support,0.4,account_issue
"@AmazonHelp Ce qui a de plus désolant, c'est surtout que ca arrive systématiquement avec Colis Privé. Arrêtez de traiter avec eux, ca ne peut pas continuer là...","@133000 Je vous comprends, mais malheureusement le choix des transporteurs n'est pas possible :( ^AR",delivery_issue,0.65,subscription_issue
My @115830 Prime 'expedited' delivery has been 'out for delivery' for 70 hours. I could have WALKED to Amazon warehouse &amp; back in 58 hrs. https://t.co/3VpfI4JFQS,"@121282 Hi, sorry for the wait! Please keep us posted, our carrier delivers until 9pm today. ^TS",delivery_issue,0.65,subscription_issue
@AmazonHelp can anybody is there for help me I had called amazon 20 times but I don't know where is my product.. Will I get this or not,"@121408 If you're unable to find our correspondence, you may fill the form again https://t.co/SK1AZRszNa and we'll assist you. 2/2^PJ",product_issue,0.65,product_issue
@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,"@118091 I'm so sorry to hear this! Without revealing any personal account information, will you provide us with more details? ^LH",general_support,0.4,delivery_issue
