customer_message,human_intent,predicted_intent,confidence,decision,reason,similarity
@115850 @AmazonHelp Does you app have a feedback option “product not delivered” ?,return_issue,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp It states Amazon Shipping,price_question,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"Echt jetzt, @116316 ? https://t.co/oh9izlNE8G",delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115850 @AmazonHelp @115821 I am Prime Member &amp; Paid an Order Using Pay Balance but got this as Refund for a Cancelled Order What's This https://t.co/vuy3mKbAX3,refund_request,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp なるほど。確認したところ、予約した商品の在庫が無かったから、なかなかメールが来なかったんですね…。 ご丁寧にありがとうございました。,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115821 what do you mean my package can't be delivered. I've had packages dropped off at the address before,payment_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Got it just now about 4 hours after it was supposedly delivered. As I said, unpredictable and non-trustworthy delivery process",account_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Solicitud (foto del estado de cuenta),subscription_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
【手を差し伸べてくれませんか？】 Amazonプライムに加入していてスマホでは視聴できるんですが、Fire TV Stickを介してテレビで視聴ができません。 これはテレビでsign inとかしないといけないとかですかね？ 詳しい方、教えて頂けると幸いです。,product_issue,account_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Amazonプライムめっちゃ凄いやないか、いつでもどこでもガンダムSEED見れるやないか、なんで今まで気づかなかったのか… https://t.co/l8ENe25Eua,return_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp I have reported the same..Hoping for a genuine product in perfect condition to be delivered now.,price_question,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115821 @AmazonHelp Sir, i got a mail by ur team again that they cant process my refund. I request you to check the vedio again and reconcern the issue. Its your delivery teams fault of missing the item. Please dont make me to share this empty box vedio all over other sites and higher authorities.",refund_request,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
Was soll der Scheiß?! @AmazonHelp @124285 https://t.co/deeGJ29EOq,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115830 having problems getting a parcel delivered as it’s to a business address. They keep coming at 5:30 which is too late.,payment_issue,delivery_issue,0.8500000000000001,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Segnalo la narrativa più soddisfacente degli ultimi mesi: ""Via dalla pazza folla"" di T.Hardy, “La casa del buio” di S.King &amp; P.Straub, “Ya. La battaglia di Campocarne” di R.Recchioni, “Pianoforte vendesi” di A.Vitali.",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp one order was suppose to be delivered by 30th october , still no tracking available for the same as on 1/11/17",payment_issue,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp Ok, One more time i give my info here #UNINSTALLAMAZON",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Within the last few minutes it has now changed to within the next 3 days. Pretty disappointing. Obviously someo5knew it wouldn't be on time well before the deadline. Should have notified me then. Could have made other plans/arrangements.,payment_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Can you please update the status? When i will be getting my money back?,order_issue,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@115850 what’s the use of amazon prime membership if the product reaches me after 2 days of placing the order .. al false promises,delivery_issue,subscription_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Desde el 11-9. He cumplido TODO lo que me pedísteis. El hartazgo es total. Mirad mi historial desde ese día.,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@115850 Amazon Delivery Boy denied my Delivery and Cancelled my Order without calling me. have previously ordered using same Address.. Worst Service,order_issue,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp I would *love* that. I inquired about this a few months ago on your chat support and was told it was an impossible request. I will be in touch tomorrow to arrange it, thank you.",delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp What happened? No solution, customer support not helping, email support not replying. Where shud I complain?",refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
I have $33 in my debit card broke as fuck cuz @115821 hasn’t deposited my money...,order_issue,payment_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@115821 your android app has been non responsive for weeks now. Can't search, only displays a puppy. 🤔",delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,refund_request,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp @115850 @115851 @115850 @115851 @127187 there is no resolution and update from last 30days. Refurbished device. Dead now. No warranty claim.,order_issue,product_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
".@116875 me prometió que mi paquete llegaba en 13 horas garantizado. Lo compré a las 10 PM de ayer, y no ha llegado. Me siento traicionado. Y luego me dicen esto: https://t.co/PLhtSMJk0I",delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp When will i be getting a refund of this product #help #pleasebesensable https://t.co/gGgeU6tmhP,refund_request,refund_request,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp The problem is not the service itself the problem is that you don't communicate this is gonna happen! 😡 I lost 4 months of membership.,order_issue,subscription_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Yup and this is the third time,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp I wrote 4 reviews yesterday evening. All positive &amp; 1 has disappeared?,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp Pre ordered a book and treated myself to another book, neither have even dispatched! The order is still at will dispatch on 22nd Oct.",order_issue,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Wurde wohl beim Zulieferer abgegeben aber mehr Auskunft gibt es nicht. Auch nicht welcher Dienst das man da mal nachfragen könnte.,delivery_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@117086 Preciso de uma máquina para o curso da minha filha!!! Mas após conversas fico sem resposta e o tempo de entrega é absurdo,refund_request,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
@AmazonHelp Bought printer to print didn't get on time had to spend rs 1200 for printing 120 pages even after ordering printer !! Who will pay the loss,delivery_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp I have 3 packages, 2 of which has shipped since Nov 12th, and 1 shipped since Nov 16",refund_request,delivery_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@AmazonHelp Please pick up from your hand . I get also damage product from your hand,order_issue,product_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
@117634 it would be amazing if I don't have to keep downloading books ive already purchased and downloaded on my kindle. Im ready to get a nook because after years Im over it. Now I can't read because Im out and there are no hotspots #annoying,delivery_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
. @AmazonHelp I purchased Kindle cover which was about to deliver yesterday. Till the morning same status was in https://t.co/sunmZYKKA1 it is showing delivery by Monday. Why the fuck u offer prime membership if u hv to do all this. Order no:- 408-6217882-7253940,refund_request,order_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp 24 hours come and gone, but no update yet again. Do I have to call to get one?",order_issue,general_support,0.4,ESCALATE,Low intent confidence,1.0
"@AmazonHelp @115850 @115821 is it the service provided by supervisor in #Amazon one left chatt without giving solution. I am buyer of https://t.co/WUJPRciLDx n Amazon.in both, 1st time such rude behavior of Amazon,d worst prt he was supervisor.wht D benefits 4 high value cstmr https://t.co/Ge2RRgn84X",delivery_issue,order_issue,0.65,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",refund_request,delivery_issue,0.75,AUTO_HANDLE,Sufficient confidence and historical evidence,1.0
